 - Plot 0, - Plot 0, - Plot 1, - Plot 1
-9.52,40.3u,-9.52,71.9m
-9.46,40.4u,-9.46,70.1m
-9.39,40.2u,-9.39,68.3m
-9.32,40.3u,-9.32,66.4m
-9.25,40.3u,-9.25,64.4m
-9.17,40.3u,-9.17,62.4m
-9.09,40.2u,-9.09,60.3m
-9.01,40.3u,-9.01,58.2m
-8.92,40.3u,-8.92,56.0m
-8.83,40.3u,-8.83,53.8m
-8.74,40.3u,-8.74,51.6m
-8.64,40.3u,-8.64,49.3m
-8.54,40.3u,-8.54,46.9m
-8.44,40.3u,-8.44,44.6m
-8.33,40.2u,-8.33,42.2m
-8.22,40.3u,-8.22,39.9m
-8.11,40.3u,-8.11,37.5m
-7.99,40.3u,-7.99,35.1m
-7.87,40.3u,-7.87,32.7m
-7.75,40.2u,-7.75,30.4m
-7.63,40.3u,-7.63,28.1m
-7.5,40.3u,-7.5,25.8m
-7.37,40.2u,-7.37,23.6m
-7.24,40.3u,-7.24,21.5m
-7.11,40.3u,-7.11,19.4m
-6.97,40.3u,-6.97,17.3m
-6.84,40.3u,-6.84,15.4m
-6.7,40.3u,-6.7,13.5m
-6.56,40.2u,-6.56,11.7m
-6.42,40.3u,-6.42,10.0m
-6.28,40.3u,-6.28,8.4m
-6.14,40.3u,-6.14,6.9m
-6,40.3u,-6,5.6m
-5.86,40.3u,-5.86,4.3m
-5.72,40.3u,-5.72,3.1m
-5.57,40.3u,-5.57,2.0m
-5.43,40.3u,-5.43,974.2u
-5.29,40.3u,-5.29,92.8u
-5.14,40.3u,-5.14,-681.0u
-5,40.3u,-5,-1.3m
-4.86,40.3u,-4.86,-1.9m
-4.72,40.3u,-4.72,-2.4m
-4.57,40.3u,-4.57,-2.7m
-4.43,40.3u,-4.43,-2.9m
-4.29,40.3u,-4.29,-3.1m
-4.14,40.3u,-4.14,-3.1m
-4,40.3u,-4,-3.0m
-3.86,40.3u,-3.86,-2.8m
-3.71,40.3u,-3.71,-2.5m
-3.57,40.3u,-3.57,-2.0m
-3.43,40.4u,-3.43,-1.5m
-3.28,44.0u,-3.28,-878.1u
-3.14,108.9u,-3.14,-135.3u
-3,423.5u,-3,718.2u
-2.85,1.1m,-2.85,1.7m
-2.71,2.3m,-2.71,2.8m
-2.56,3.5m,-2.56,3.9m
-2.42,4.9m,-2.42,5.2m
-2.28,6.4m,-2.28,6.6m
-2.13,8.1m,-2.13,8.1m
-1.99,9.8m,-1.99,9.8m
-1.85,11.7m,-1.85,11.5m
-1.7,13.6m,-1.7,13.3m
-1.56,15.6m,-1.56,15.3m
-1.42,17.7m,-1.42,17.3m
-1.27,19.8m,-1.27,19.5m
-1.13,21.9m,-1.13,21.7m
-0.98,24.1m,-0.98,24.1m
-0.84,26.4m,-0.84,26.6m
-0.7,28.6m,-0.7,29.2m
-0.56,31.0m,-0.56,31.9m
-0.41,33.3m,-0.41,34.7m
-0.27,35.7m,-0.27,37.6m
-0.12,38.2m,-0.12,40.7m
